Processor_DPC_Rate,Processor_pct_ Idle_Time,Processor_pct_ C3_Time,Processor_pct_ Interrupt_Time,Processor_pct_ C2_Time,Processor_pct_ User_Time,Processor_pct_ C1_Time,Processor_pct_ Processor_Time,Processor_C1_ransitions_sec,Processor_pct_ DPC_Time,Processor_C2_ransitions_sec,Processor_pct_ Privileged_Time,Processor_C3_ransitions_sec,Processor_DPCs_Queued_sec,Processor_Interrupts_sec,Process_Pool_Paged Bytes,Process_IO Read_Operations_sec,Process_Working_Set_ Private,Process_Working_Set_Peak,Process_IO_Write Operations_sec,Process_Page_File Bytes,Process_pct_ User_Time,Process_Virtual_Bytes Peak,Process_Page_File Bytes Peak,Process_IO_Other_Bytes_sec,Process_Private_Bytes,Process_IO_Write_Bytes_sec,Process_Elapsed_Time,Process_Virtual_Bytes,Process_pct_ Processor_Time,Process_Creating Process ID,Process_Pool Nonpaged Bytes,Process_Working Set,Process_Page Faults_sec,Process_ID Process,Process_IO Other Operations_sec,Process_IO Data Operations_sec,Process_Thread Count,Process_pct_ Privileged_Time,Process_IO Data Bytes_sec,Process_IO Read Bytes_sec,Process_Priority Base,Process_Handle Count,Network_I(Intel R _82574L_GNC)TCP_APS,Network_I(Intel R _82574L_GNC) Packets Received Unknown,Network_I(Intel R _82574L_GNC) Bytes Received sec,Network_I(Intel R _82574L_GNC) Bytes Sent sec,Network_I(Intel R _82574L_GNC) Packets Outbound Errors,Network_I(Intel R _82574L_GNC) Packets Received Discarded,Network_I(Intel R _82574L_GNC) Bytes Total sec,Network_I(Intel R _82574L_GNC) Packets Outbound Discarded,Network_I(Intel R _82574L_GNC) TCP RSC Exceptions sec,Network_I(Intel R _82574L_GNC) Packets Sent Unicast sec,Network_I(Intel R _82574L_GNC) Output Queue Length,Network_I(Intel R _82574L_GNC) Packets Received sec,Network_I(Intel R _82574L_GNC) Current Bandwidth,Network_I(Intel R _82574L_GNC) Packets sec,Network_I(Intel R _82574L_GNC) TCP Active RSC Connections,Network_I(Intel R _82574L_GNC) Packets Sent sec,Network_I(Intel R _82574L_GNC) Packets Received Unicast sec,Network_I(Intel R _82574L_GNC) Packets Sent Non-Unicast sec,Network_I(Intel R _82574L_GNC) Packets Received Non-Unicast sec,Network_I(Intel R _82574L_GNC) TCP RSC Coalesced Packets sec,Network_I(Intel R _82574L_GNC) Offloaded Connections,Network_I(Intel R _82574L_GNC) Packets Received Errors,Memory Pool Paged Bytes,Memory Free & Zero Page List Bytes,Memory Cache Bytes Peak,Memory System Code Resident Bytes,Memory Available Bytes,Memory Commit Limit,Memory Transition Pages RePurposed sec,Memory Pages Output sec,Memory Page Reads sec,Memory Demand Zero Faults sec,Memory Available KBytes,Memory Pages sec,Memory Cache Bytes,Memory Pool Nonpaged Bytes,Memory Page Faults sec,Memory Transition Faults sec,Memory System Cache Resident Bytes,Memory Long-Term Average Standby Cache Lifetime (s),Memory Standby Cache Reserve Bytes,Memory Page Writes sec,Memory System Code Total Bytes,Memory Standby Cache Core Bytes,Memory System Driver Resident Bytes,Memory Standby Cache Normal Priority Bytes,Memory Pool Paged Allocs,Memory Pool Nonpaged Allocs,Memory pct_ Committed Bytes In Use,Memory Free System Page Table Entries,Memory Available MBytes,Memory Modified Page List Bytes,Memory Cache Faults sec,Memory Committed Bytes,Memory System Driver Total Bytes,Memory Pages Input sec,Memory Pool Paged Resident Bytes,Memory Write Copies sec,LogicalDisk(_Total) Avg  Disk Bytes Write,LogicalDisk(_Total) pct_ Idle Time,LogicalDisk(_Total) Disk Reads sec,LogicalDisk(_Total) pct_ Free Space,LogicalDisk(_Total) Disk Read Bytes sec,LogicalDisk(_Total) Avg  Disk sec Read,LogicalDisk(_Total) Disk Writes sec,LogicalDisk(_Total) Current Disk Queue Length,LogicalDisk(_Total) Split IO Sec,LogicalDisk(_Total) Free Megabytes,LogicalDisk(_Total) Avg  Disk sec Write,LogicalDisk(_Total) Disk Bytes sec,LogicalDisk(_Total) Avg  Disk Read Queue Length,LogicalDisk(_Total) pct_ Disk Time,LogicalDisk(_Total) Avg  Disk Bytes Read,LogicalDisk(_Total) Avg  Disk Write Queue Length,LogicalDisk(_Total) Avg  Disk Queue Length,LogicalDisk(_Total) pct_ Disk Read Time,LogicalDisk(_Total) Disk Write Bytes sec,LogicalDisk(_Total) Disk Transfers sec,LogicalDisk(_Total) Avg  Disk Bytes Transfer,LogicalDisk(_Total) pct_ Disk Write Time,LogicalDisk(_Total) Avg  Disk sec Transfer,type
17,0,0,1.170522789,0,38.15904291,0,100,0,2.41908043,0,61.41342898,0,306.1790845,1590.133334,29781168,64.13278051,1026715648,4196339712,303.3820162,1532198912,75.84987671,2.85E+14,2353979392,117262.5936,1532198912,364423.2371,0,2.85E+14,189.7807615,0,2902256,3097710592,3539.390259,0,1592.630716,367.5147967,1827,113.9308848,394999.689,30576.4519,0,55958,12394,0,215290.3477,4022.384019,0,0,219312.7317,0,0,33.96440089,0,184.6065084,1000000000,218.5709093,25,33.96440089,184.6065084,0,0,0,0,0,404406272,13029376,152952832,0,1632112640,5770170368,936.9179881,0,23.57529003,3471.861038,1593860,94.00147423,148488192,124801024,4540.441028,1437.49332,148488192,2376,553553920,0,0,143253504,8503296,922275840,0,0,43.31913852,12262157,1556,68939776,142.6504837,2499588096,17735680,94.00147423,391794688,57.43979563,16380.38588,97.19310577,14.38492273,82.99204057,323347.4898,0.002889455,42.45550112,2,2.097801232,169854,0.001692977,1018784.981,0.041560139,3.79281634,22478.22222,0.071868506,0.113428645,1.38968492,695437.4911,56.84042385,17923.5993,2.403132421,0.001995776,dos
11,0,0,0.546510062,0,65.1127703,0,100,0,0.312291464,0,34.82049826,0,266.8593221,1614.339102,32343712,102.4691858,1056952320,4486959104,35.85422778,1681776640,130.0693949,2.94E+14,2520064000,185892.7856,1681776640,68970.2512,0,2.94E+14,196.7436225,0,3068256,3271036928,5113.971402,0,1260.79045,138.3234136,1937,66.67422762,113507.1944,44536.94325,0,58880,12312,0,4068.306319,495.0679863,0,0,4563.374305,0,0,2.59668502,0,60.42286296,1000000000,63.01954798,28,2.59668502,60.42286296,0,0,0,0,0,409092096,2334720,152952832,0,1507831808,5770170368,77.9005506,0,29.86187773,4632.885566,1472492,57.22694294,152576000,126361600,5556.606325,820.7522113,152576000,1877,442064896,0,0,142266368,8503296,921165824,0,0,45.76736683,12252930,1437,153047040,186.8614489,2640855040,17735680,57.22694294,395915264,64.417763,157323.6364,99.69880213,4.993625038,82.99204057,120371.1318,0.002598482,4.394390034,0,1.29834251,169854,0.002336014,811712.5515,0.01298374,0.775178367,24104.96,0.010271601,0.023255341,0.432790999,691341.4197,9.388015072,86462.6383,0.342387367,0.002475624,dos
0,0,0,0.78081667,0,68.94611198,0,100,0,1.015061671,0,31.15458514,0,295.7797509,1365.406524,31974392,101.2930655,1049182208,4466798592,31.49784366,1672732672,134.3004673,2.91E+14,2513719296,215867.3217,1672732672,190254.7752,0,2.91E+14,187.7083275,0,3035264,3248103424,1602.3903,0,1176.01949,132.7909091,1917,53.40786024,288431.154,98176.37885,0,58433,12289,0,30298.42577,441.9697428,0,0,30740.39551,0,0,7.299500276,0,65.29552987,1000000000,72.59503014,26,7.299500276,65.29552987,0,0,0,0,0,410525696,1855488,153149440,0,1497313280,5770170368,355.8756368,0,12.19916485,2434.033366,1462220,15.79891841,149086208,127184896,2637.319449,103.592908,149086208,1875,429158400,0,0,142213120,8503296,924086272,0,0,45.95214281,12249877,1427,151105536,192.6868087,2651516928,17735680,15.79891841,397352960,1.099924699,13315.93342,98.20257951,3.79973987,82.99204057,41673.947,0.002162613,78.09465364,0,1.79987678,169854,0.000795434,1081577.155,0.008213372,2.343409478,10967.57895,0.062088903,0.070302274,0.273779061,1039903.208,81.89439351,13206.97436,2.069629418,0.000858868,dos
0,0,0,0.468739969,0,66.0142123,0,100,0,0.156246656,0,33.98364775,0,293.7563596,1366.896934,31501864,56.29163731,1071140864,4467695616,7.398900819,1728057344,132.0284246,2.8E+14,2535165952,194176.7531,1728057344,50945.53153,0,2.8E+14,197.4957736,0,4012488,3218546688,1452.384234,0,1272.01103,63.69053813,1840,65.467349,690650.497,639704.9654,0,56688,12246,0,2321.855065,9.598574036,0,0,2331.453639,0,0,0.199970292,0,36.19462293,1000000000,36.39459322,2,0.199970292,36.19462293,0,0,0,0,0,420839424,28180480,166359040,0,1608773632,5770170368,0,0,22.4966579,1688.349179,1571068,24.69633111,138420224,131207168,1956.009415,38.99420702,138420224,2032,433549312,0,0,142524416,8507392,1004519424,0,0,46.63559381,12253765,1534,59101184,309.3540424,2690953216,17735680,24.69633111,407748608,29.69558842,15078.81714,96.13342674,24.49636082,82.89383035,395154.0959,0.000964078,165.6753873,0,7.498885966,169653,0.000605348,2893342.965,0.023619405,4.130781601,16131.13469,0.100304043,0.123923448,0.787313151,2498188.869,190.1717481,15214.36803,3.34346845,0.000651557,dos
0,0,0,0.850670758,0,72.30701444,0,100,0,0.077333705,0,27.60813279,0,124.0523681,955.8863641,31378656,11.88051411,982122496,4480679936,11.88051411,1799008256,143.3766896,2.78E+14,2553675776,36680.09726,1799008256,205015.7946,0,2.78E+14,193.643598,0,3723552,3115327488,3585.638161,0,219.9875195,23.76102821,1820,50.26690844,722973.1422,517957.3476,0,56584,12227,0,3052.302082,0,0,0,3052.302082,0,0,0,0,47.12603929,1000000000,47.12603929,2,0,47.12603929,0,0,0,0,0,419332096,2093056,166359040,0,1466265600,5770170368,1069.543282,0,6.534282758,4073.036252,1431900,9.009389863,146386944,131469312,4194.811522,74.35221744,146386944,1845,308588544,0,0,142528512,8507392,1013055488,0,0,49.16084168,12253625,1398,168280064,161.4759876,2836664320,17735680,9.009389863,405504000,6.039261337,110434.4615,99.584645,4.653201358,82.89383035,21239.19108,0.001569523,2.57411139,0,0,169653,0.001852604,305509.7963,0.007302044,0.402334232,4564.425532,0.004767983,0.012070027,0.243401465,284270.6052,7.227312748,42271.56164,0.158932767,0.001670347,dos
1,0,0,1.953685004,0,53.21837952,0,100,0,0.547031801,0,46.8102927,0,344.5022448,1987.389837,33295624,19.20570006,1242730496,4850585600,199.7592866,2185883648,106.436759,2.8E+14,3051073536,170386.9691,2185883648,940640.3727,0,2.8E+14,195.3685004,0,4360776,3463962624,3936.668364,0,1554.861467,218.9649866,1974,88.93174139,1075055.166,134414.793,0,58198,12213,0,3040.902509,8.402493776,0,0,3049.305003,0,0,0.200059376,0,47.51410171,1000000000,47.71416109,2,0.200059376,47.51410171,0,0,0,0,0,425259008,6078464,166359040,0,1125326848,5770170368,992.8946812,0,54.31612048,3727.306227,1098952,252.8750508,154832896,137875456,4265.565977,953.883103,154832896,1097,1048576,0,0,141664256,8519680,976556032,0,0,57.41982333,12250299,1073,108396544,319.4948229,3313221632,17735680,252.8750508,411639808,164.3487771,9771.325975,93.84927796,81.62422525,82.87721767,1741163.16,0.001214518,271.8806915,0,1.800534381,169619,0.000993852,4397798.022,0.099133076,12.31131392,21331.45098,0.270206362,0.369339437,3.304436184,2656634.863,353.5049167,12440.55688,9.006878732,0.001044804,dos
2,0,0,1.642300541,0,51.22413591,0,100,0,1.32948139,0,48.72158271,0,385.9952244,2157.909505,33286848,108.1106956,1238224896,4852748288,129.3324248,2184249344,102.4482718,2.8E+14,3062173696,134617.7364,2184249344,627298.9977,0,2.8E+14,193.6350542,0,4401018,3443834880,2755.921816,0,1363.5962,237.4431204,1961,91.1867824,724846.9781,97547.98035,0,58177,12213,0,4099.497517,1166.494385,0,0,5265.991902,0,0,11.21147955,0,56.55791021,1000000000,67.76938976,2,11.21147955,56.55791021,0,0,0,0,0,425095168,17977344,166359040,0,1018421248,5770170368,3130.605458,0,43.94499572,1815.759174,994552,201.5063243,157151232,138416128,3061.334531,1227.356703,157151232,933,929792,0,0,141340672,8519680,858173440,0,0,59.35950956,12254587,971,109416448,202.0068368,3425144832,17735680,201.5063243,411525120,113.6163329,8680.068466,96.17421078,45.94704564,82.87721767,980716.1651,0.000995206,152.0556913,0,0.800819968,169619,0.00099572,2300569.977,0.045726622,6.571033031,21344.48802,0.151404359,0.197130981,1.524221071,1319853.812,198.002737,11618.87968,5.046811959,0.000995601,dos
0,76.95802969,0,0.078205209,0,12.4346282,76.95802969,19.91786616,117.4209201,0,0,7.273084421,0,24.02474068,494.8095549,30628248,9.509793185,859983872,4725788672,10.1104117,1884856320,24.86925641,2.54E+14,2768269312,4059.38035,1884856320,12246.61156,0,2.54E+14,200.0489242,0,2719128,3008794624,2142.306147,0,91.59432383,19.62020489,1431,175.1796678,14992.23901,2745.627447,0,50751,10791,0,2580.757664,162.1669996,0,0,2742.924664,0,0,3.003092585,0,4.604741963,1000000000,7.607834548,3,3.003092585,4.604741963,0,0,0,0,0,123691008,216989696,199274496,0,613822464,5770170368,0,0,0,1600.848554,599436,0,114122752,96002048,2143.006868,578.6959411,114122752,1794,77414400,0,0,185585664,7270400,133832704,0,0,70.81554843,12263391,585,15159296,0,4086177792,18079744,0,103403520,0,21299.2,99.99077454,0.100103086,81.80032541,6560.355854,0.0005881,1.001030862,0,0.200206172,167415,0.00040477,27881.51238,5.89E-05,0.015468865,65536,0.000405186,0.000464056,0.001962012,21321.15653,1.101133948,25320.72727,0.013505852,0.000421436,ddos
0,83.46289078,0,0,0,7.659863464,83.46289078,13.78745509,118.4187198,0.234485616,0,6.331111639,0,22.68442986,397.1274197,30628232,15.18957418,878743552,4725817344,11.49211204,1903063040,15.31972693,2.54E+14,2768269312,6973.413588,1903063040,9361.774265,0,2.54E+14,199.3127738,0,2720080,3027546112,1722.517698,0,153.5945758,26.68168622,1436,183.9930469,13138.98167,3777.2074,0,50777,10791,0,2531.562386,181.0757133,0,0,2712.638099,0,0,3.397667909,0,4.396981999,1000000000,7.794649908,3,3.397667909,4.396981999,0,0,0,0,0,123691008,198262784,199274496,0,595021824,5770170368,0,0,0,1208.970187,581076,0,114196480,96002048,1723.616944,552.820555,114196480,1788,77414400,0,0,185585664,7270400,133758976,0,0,71.12163908,12263339,567,15200256,1.798765363,4103839744,18079744,0,103403520,0,17408,100.0990287,0.099931409,81.80032541,6549.104825,0.0006031,1.199176909,0,0.099931409,167415,0.000254217,27424.37646,6.03E-05,0.012184748,65536,0.000305204,0.000365542,0.002011949,20875.27163,1.299108318,21110.15385,0.010173799,0.000281054,ddos
0,84.76735161,0,0.156004332,0,7.254201446,84.76735161,13.33959348,140.4420017,0,0,5.928164623,0,29.48782241,410.0306696,30636296,15.29368417,900370432,4725854208,14.19413825,1928810496,14.50840289,2.54E+14,2768281600,5775.115051,1928810496,10867.91188,0,2.54E+14,199.3735365,0,2721960,3049197568,1544.262266,0,131.8455517,29.48782241,1441,184.8651336,13940.64293,3072.731054,0,50921,10780,0,2986.866514,458.810525,0,0,3445.677039,0,0,4.698059842,0,6.197440643,1000000000,10.89550049,3,4.698059842,6.197440643,0,0,0,0,0,123695104,172552192,199274496,0,569421824,5770170368,0,0,0.19991744,981.894507,556076,1.699298241,114130944,96010240,1545.461771,601.5515772,114130944,1733,77471744,0,0,185585664,7270400,133812224,0,0,71.56920437,12263412,543,18751488,0.4997936,4129665024,18079744,1.699298241,103403520,0.59975232,12629.33333,99.84074878,0.29987616,81.80032541,13511.22027,0.000595833,1.799256961,0,0,167415,0.000620744,36234.63618,0.000178469,0.043135073,45056,0.001115583,0.001294052,0.005948632,22723.41591,2.099133121,17261.71429,0.037186441,0.000617186,ddos
